5/8/2019, 11:18:11 AM ,,,
 Current Sensitivity ,1.00E-09,,,
 This file comes from It only measurement ,0.00E+00,,,
 Sampling rate ,500,,,
 Number of samples per channel ,-1,,,
 No filter from Labview , , , ,
 , ,,,
 ***End_of_Header*** ,,,,
 , Time , Current , Filtered Current , 
,0.954,-4.82E-10,,
,0.956,-4.94E-10,,
,0.958,-5.07E-10,,
,0.96,-5.19E-10,,
,0.962,-5.33E-10,,
,0.964,-5.46E-10,,
,0.966,-5.60E-10,,
,0.968,-5.73E-10,,
,0.97,-5.86E-10,,
,0.972,-5.98E-10,,
,0.974,-6.11E-10,,
,0.976,-6.24E-10,,
,0.978,-6.37E-10,,
,0.98,-6.51E-10,,
,0.982,-6.66E-10,,
,0.984,-6.80E-10,,
,0.986,-6.94E-10,,
,0.988,-7.08E-10,,
,0.99,-7.21E-10,,
,0.992,-7.35E-10,,
,0.994,-7.50E-10,,
,0.996,-7.65E-10,,
,0.998,-7.80E-10,,
,1,-7.95E-10,,
,1.002,-8.10E-10,,
,1.004,-8.25E-10,,
,1.006,-8.39E-10,,
,1.008,-8.54E-10,,
,1.01,-8.69E-10,,
,1.012,-8.84E-10,,
,1.014,-9.00E-10,,
,1.016,-9.16E-10,,
,1.018,-9.32E-10,,
,1.02,-9.48E-10,,
,1.022,-9.63E-10,,
,1.024,-9.79E-10,,
,1.026,-9.95E-10,,
,1.028,-1.01E-09,,
,1.03,-1.03E-09,,
,1.032,-1.05E-09,,
,1.034,-1.07E-09,,
,1.036,-1.08E-09,,
,1.038,-1.10E-09,,
,1.04,-1.12E-09,,
,1.042,-1.13E-09,,
,1.044,-1.15E-09,,
,1.046,-1.17E-09,,
,1.048,-1.19E-09,,
,1.05,-1.21E-09,,
,1.052,-1.23E-09,,
,1.054,-1.25E-09,,
,1.056,-1.27E-09,,
,1.058,-1.28E-09,,
,1.06,-1.30E-09,,
,1.062,-1.32E-09,,
,1.064,-1.35E-09,,
,1.066,-1.37E-09,,
,1.068,-1.39E-09,,
,1.07,-1.41E-09,,
,1.072,-1.43E-09,,
,1.074,-1.45E-09,,
,1.076,-1.47E-09,,
,1.078,-1.49E-09,,
,1.08,-1.52E-09,,
,1.082,-1.54E-09,,
,1.084,-1.56E-09,,
,1.086,-1.59E-09,,
,1.088,-1.61E-09,,
,1.09,-1.64E-09,,
,1.092,-1.66E-09,,
,1.094,-1.68E-09,,
,1.096,-1.71E-09,,
,1.098,-1.73E-09,,
,1.1,-1.76E-09,,
,1.102,-1.78E-09,,
,1.104,-1.81E-09,,
,1.106,-1.83E-09,,
,1.108,-1.86E-09,,
,1.11,-1.88E-09,,
,1.112,-1.90E-09,,
,1.114,-1.93E-09,,
,1.116,-1.96E-09,,
,1.118,-1.98E-09,,
,1.12,-2.00E-09,,
,1.122,-2.03E-09,,
,1.124,-2.05E-09,,
,1.126,-2.08E-09,,
,1.128,-2.10E-09,,
,1.13,-2.13E-09,,
,1.132,-2.15E-09,,
,1.134,-2.17E-09,,
,1.136,-2.20E-09,,
,1.138,-2.22E-09,,
,1.14,-2.24E-09,,
,1.142,-2.26E-09,,
,1.144,-2.28E-09,,
,1.146,-2.31E-09,,
,1.148,-2.33E-09,,
,1.15,-2.35E-09,,
,1.152,-2.37E-09,,
,1.154,-2.40E-09,,
,1.156,-2.42E-09,,
,1.158,-2.44E-09,,
,1.16,-2.46E-09,,
,1.162,-2.49E-09,,
,1.164,-2.51E-09,,
,1.166,-2.53E-09,,
,1.168,-2.56E-09,,
,1.17,-2.58E-09,,
,1.172,-2.61E-09,,
,1.174,-2.63E-09,,
,1.176,-2.66E-09,,
,1.178,-2.69E-09,,
,1.18,-2.71E-09,,
,1.182,-2.74E-09,,
,1.184,-2.77E-09,,
,1.186,-2.80E-09,,
,1.188,-2.83E-09,,
,1.19,-2.86E-09,,
,1.192,-2.89E-09,,
,1.194,-2.93E-09,,
,1.196,-2.96E-09,,
,1.198,-3.00E-09,,
,1.2,-3.03E-09,,
,1.202,-3.07E-09,,
,1.204,-3.11E-09,,
,1.206,-3.15E-09,,
,1.208,-3.19E-09,,
,1.21,-3.23E-09,,
,1.212,-3.27E-09,,
