5/15/2019, 11:08:14 AM ,,,
 Current Sensitivity ,1.00E-09,,,
 This file comes from It only measurement ,0.00E+00,,,
 Sampling rate ,500,,,
 Number of samples per channel ,-1,,,
 No filter from Labview , , , ,
 , ,,,
 ***End_of_Header*** ,,,,
 , Time , Current , Filtered Current , 
,0.729001,3.04E-11,,
,0.731001,3.23E-11,,
,0.733001,3.37E-11,,
,0.735001,3.50E-11,,
,0.737001,3.57E-11,,
,0.739001,3.69E-11,,
,0.741001,3.82E-11,,
,0.743001,3.96E-11,,
,0.745001,4.11E-11,,
,0.747001,4.25E-11,,
,0.749001,4.37E-11,,
,0.751001,4.45E-11,,
,0.753001,4.48E-11,,
,0.755001,4.52E-11,,
,0.757001,4.54E-11,,
,0.759001,4.59E-11,,
,0.761001,4.67E-11,,
,0.763001,4.77E-11,,
,0.765001,4.87E-11,,
,0.767001,4.94E-11,,
,0.769001,4.95E-11,,
,0.771001,4.94E-11,,
,0.773001,4.96E-11,,
,0.775001,4.98E-11,,
,0.777001,5.03E-11,,
,0.779001,5.09E-11,,
,0.781001,5.16E-11,,
,0.783001,5.20E-11,,
,0.785001,5.16E-11,,
,0.787001,5.10E-11,,
,0.789001,5.03E-11,,
,0.791001,5.02E-11,,
,0.793001,4.99E-11,,
,0.795001,5.00E-11,,
,0.797001,5.04E-11,,
,0.799001,5.09E-11,,
,0.801001,5.09E-11,,
,0.803001,5.03E-11,,
,0.805001,5.00E-11,,
,0.807001,4.98E-11,,
,0.809001,4.97E-11,,
,0.811001,4.98E-11,,
,0.813001,5.00E-11,,
,0.815001,5.02E-11,,
,0.817001,5.00E-11,,
,0.819001,4.91E-11,,
,0.821001,4.85E-11,,
,0.823001,4.81E-11,,
,0.825001,4.80E-11,,
,0.827001,4.81E-11,,
,0.829001,4.80E-11,,
,0.831001,4.82E-11,,
,0.833001,4.79E-11,,
,0.835001,4.73E-11,,
,0.837001,4.64E-11,,
,0.839001,4.58E-11,,
,0.841001,4.54E-11,,
,0.843001,4.52E-11,,
,0.845001,4.48E-11,,
,0.847001,4.44E-11,,
,0.849001,4.40E-11,,
,0.851001,4.29E-11,,
,0.853001,4.17E-11,,
,0.855001,4.04E-11,,
,0.857001,3.94E-11,,
,0.859001,3.85E-11,,
,0.861001,3.78E-11,,
,0.863001,3.70E-11,,
,0.865001,3.62E-11,,
,0.867001,3.49E-11,,
,0.869001,3.35E-11,,
,0.871001,3.19E-11,,
,0.873001,3.02E-11,,
,0.875001,2.87E-11,,
,0.877001,2.74E-11,,
,0.879001,2.61E-11,,
,0.881001,2.47E-11,,
,0.883001,2.32E-11,,
,0.885001,2.13E-11,,
,0.887001,1.94E-11,,
,0.889001,1.73E-11,,
,0.891001,1.54E-11,,
,0.893001,1.36E-11,,
,0.895001,1.24E-11,,
,0.897001,1.09E-11,,
,0.899001,9.31E-12,,
,0.901001,7.06E-12,,
,0.903001,4.48E-12,,
,0.905001,2.01E-12,,
,0.907001,-2.53E-14,,
,0.909001,-1.74E-12,,
,0.911001,-3.46E-12,,
,0.913001,-5.29E-12,,
,0.915001,-6.90E-12,,
,0.917001,-8.72E-12,,
,0.919001,-1.07E-11,,
,0.921001,-1.29E-11,,
,0.923001,-1.52E-11,,
,0.925001,-1.72E-11,,
,0.927001,-1.90E-11,,
,0.929001,-2.07E-11,,
,0.931001,-2.24E-11,,
,0.933001,-2.42E-11,,
,0.935001,-2.61E-11,,
,0.937001,-2.85E-11,,
,0.939001,-3.08E-11,,
,0.941001,-3.29E-11,,
,0.943001,-3.46E-11,,
,0.945001,-3.61E-11,,
,0.947001,-3.76E-11,,
,0.949001,-3.92E-11,,
,0.951001,-4.09E-11,,
,0.953001,-4.31E-11,,
,0.955001,-4.51E-11,,
,0.957001,-4.69E-11,,
,0.959001,-4.87E-11,,
,0.961001,-5.02E-11,,
,0.963001,-5.16E-11,,
,0.965001,-5.27E-11,,
,0.967001,-5.45E-11,,
,0.969001,-5.65E-11,,
,0.971001,-5.85E-11,,
,0.973001,-6.03E-11,,
,0.975001,-6.14E-11,,
,0.977001,-6.23E-11,,
,0.979001,-6.32E-11,,
,0.981001,-6.39E-11,,
,0.983001,-6.50E-11,,
,0.985001,-6.62E-11,,
,0.987001,-6.80E-11,,
,0.989001,-6.96E-11,,
,0.991001,-7.10E-11,,
,0.993001,-7.23E-11,,
,0.995001,-7.33E-11,,
,0.997001,-7.44E-11,,
,0.999001,-7.52E-11,,
,1.001001,-7.62E-11,,
,1.003001,-7.75E-11,,
,1.005001,-7.87E-11,,
,1.007001,-7.95E-11,,
,1.009001,-7.96E-11,,
,1.011001,-7.99E-11,,
,1.013001,-8.03E-11,,
,1.015001,-8.09E-11,,
,1.017001,-8.13E-11,,
,1.019001,-8.20E-11,,
,1.021001,-8.31E-11,,
,1.023001,-8.39E-11,,
,1.025001,-8.46E-11,,
,1.027001,-8.51E-11,,
,1.029001,-8.54E-11,,
,1.031001,-8.54E-11,,
,1.033001,-8.54E-11,,
,1.035001,-8.60E-11,,
,1.037001,-8.68E-11,,
,1.039001,-8.75E-11,,
,1.041001,-8.77E-11,,
,1.043001,-8.76E-11,,
,1.045001,-8.75E-11,,
,1.047001,-8.74E-11,,
,1.049001,-8.75E-11,,
,1.051001,-8.79E-11,,
,1.053001,-8.88E-11,,
,1.055001,-8.95E-11,,
,1.057001,-9.01E-11,,
,1.059001,-9.03E-11,,
,1.061001,-9.07E-11,,
,1.063001,-9.07E-11,,
,1.065001,-9.11E-11,,
,1.067001,-9.14E-11,,
,1.069001,-9.24E-11,,
,1.071001,-9.30E-11,,
,1.073001,-9.36E-11,,
,1.075001,-9.39E-11,,
,1.077001,-9.43E-11,,
,1.079001,-9.43E-11,,
,1.081001,-9.44E-11,,
,1.083001,-9.48E-11,,
,1.085001,-9.61E-11,,
,1.087001,-9.76E-11,,
,1.089001,-9.87E-11,,
,1.091001,-9.94E-11,,
,1.093001,-1.00E-10,,
,1.095001,-1.01E-10,,
,1.097001,-1.01E-10,,
,1.099001,-1.01E-10,,
,1.101001,-1.02E-10,,
,1.103001,-1.04E-10,,
,1.105001,-1.05E-10,,
,1.107001,-1.07E-10,,
,1.109001,-1.07E-10,,
,1.111001,-1.08E-10,,
,1.113001,-1.08E-10,,
,1.115001,-1.09E-10,,
,1.117001,-1.09E-10,,
,1.119001,-1.10E-10,,
,1.121001,-1.12E-10,,
,1.123001,-1.13E-10,,
,1.125001,-1.14E-10,,
,1.127001,-1.15E-10,,
,1.129001,-1.16E-10,,
,1.131001,-1.17E-10,,
,1.133001,-1.17E-10,,
,1.135001,-1.19E-10,,
,1.137001,-1.20E-10,,
,1.139001,-1.21E-10,,
,1.141001,-1.22E-10,,
,1.143001,-1.22E-10,,
,1.145001,-1.23E-10,,
,1.147001,-1.23E-10,,
,1.149001,-1.23E-10,,
,1.151001,-1.23E-10,,
,1.153001,-1.25E-10,,
,1.155001,-1.26E-10,,
,1.157001,-1.28E-10,,
,1.159001,-1.29E-10,,
,1.161001,-1.29E-10,,
,1.163001,-1.30E-10,,
,1.165001,-1.30E-10,,
,1.167001,-1.30E-10,,
,1.169001,-1.31E-10,,
,1.171001,-1.32E-10,,
,1.173001,-1.33E-10,,
,1.175001,-1.33E-10,,
,1.177001,-1.33E-10,,
,1.179001,-1.33E-10,,
,1.181001,-1.33E-10,,
,1.183001,-1.33E-10,,
,1.185001,-1.33E-10,,
,1.187001,-1.35E-10,,
,1.189001,-1.36E-10,,
,1.191001,-1.36E-10,,
,1.193001,-1.36E-10,,
,1.195001,-1.35E-10,,
,1.197001,-1.35E-10,,
,1.199001,-1.34E-10,,
,1.201001,-1.34E-10,,
,1.203001,-1.35E-10,,
,1.205001,-1.35E-10,,
,1.207001,-1.35E-10,,
,1.209001,-1.34E-10,,
,1.211001,-1.33E-10,,
,1.213001,-1.32E-10,,
,1.215001,-1.31E-10,,
,1.217001,-1.30E-10,,
,1.219001,-1.30E-10,,
,1.221001,-1.30E-10,,
,1.223001,-1.30E-10,,
,1.225001,-1.30E-10,,
,1.227001,-1.29E-10,,
,1.229001,-1.28E-10,,
,1.231001,-1.26E-10,,
,1.233001,-1.24E-10,,
,1.235001,-1.23E-10,,
,1.237001,-1.23E-10,,
,1.239001,-1.22E-10,,
,1.241001,-1.21E-10,,
,1.243001,-1.20E-10,,
,1.245001,-1.18E-10,,
,1.247001,-1.16E-10,,
,1.249001,-1.14E-10,,
,1.251001,-1.13E-10,,
,1.253001,-1.12E-10,,
,1.255001,-1.12E-10,,
,1.257001,-1.11E-10,,
,1.259001,-1.10E-10,,
,1.261001,-1.07E-10,,
,1.263001,-1.05E-10,,
,1.265001,-1.03E-10,,
,1.267001,-1.01E-10,,
,1.269001,-9.94E-11,,
,1.271001,-9.86E-11,,
,1.273001,-9.74E-11,,
,1.275001,-9.61E-11,,
,1.277001,-9.42E-11,,
,1.279001,-9.22E-11,,
,1.281001,-8.99E-11,,
,1.283001,-8.79E-11,,
,1.285001,-8.64E-11,,
,1.287001,-8.55E-11,,
,1.289001,-8.43E-11,,
,1.291001,-8.29E-11,,
,1.293001,-8.10E-11,,
,1.295001,-7.89E-11,,
,1.297001,-7.66E-11,,
,1.299001,-7.46E-11,,
,1.301001,-7.33E-11,,
,1.303001,-7.27E-11,,
,1.305001,-7.21E-11,,
,1.307001,-7.12E-11,,
,1.309001,-7.01E-11,,
,1.311001,-6.86E-11,,
,1.313001,-6.69E-11,,
,1.315001,-6.50E-11,,
,1.317001,-6.36E-11,,
,1.319001,-6.29E-11,,
,1.321001,-6.28E-11,,
,1.323001,-6.26E-11,,
,1.325001,-6.21E-11,,
,1.327001,-6.10E-11,,
,1.329001,-6.00E-11,,
,1.331001,-5.89E-11,,
,1.333001,-5.83E-11,,
,1.335001,-5.79E-11,,
,1.337001,-5.82E-11,,
,1.339001,-5.85E-11,,
,1.341001,-5.86E-11,,
,1.343001,-5.81E-11,,
,1.345001,-5.70E-11,,
,1.347001,-5.61E-11,,
,1.349001,-5.52E-11,,
,1.351001,-5.50E-11,,
,1.353001,-5.51E-11,,
,1.355001,-5.56E-11,,
,1.357001,-5.59E-11,,
,1.359001,-5.60E-11,,
,1.361001,-5.56E-11,,
,1.363001,-5.53E-11,,
,1.365001,-5.49E-11,,
,1.367001,-5.48E-11,,
,1.369001,-5.52E-11,,
,1.371001,-5.60E-11,,
,1.373001,-5.67E-11,,
,1.375001,-5.68E-11,,
,1.377001,-5.65E-11,,
,1.379001,-5.60E-11,,
,1.381001,-5.55E-11,,
,1.383001,-5.55E-11,,
,1.385001,-5.62E-11,,
,1.387001,-5.75E-11,,
,1.389001,-5.86E-11,,
,1.391001,-5.93E-11,,
,1.393001,-5.97E-11,,
,1.395001,-5.99E-11,,
,1.397001,-6.00E-11,,
,1.399001,-6.00E-11,,
,1.401001,-6.07E-11,,
,1.403001,-6.19E-11,,
,1.405001,-6.33E-11,,
,1.407001,-6.42E-11,,
,1.409001,-6.45E-11,,
,1.411001,-6.44E-11,,
,1.413001,-6.42E-11,,
,1.415001,-6.42E-11,,
,1.417001,-6.48E-11,,
,1.419001,-6.57E-11,,
,1.421001,-6.73E-11,,
,1.423001,-6.87E-11,,
,1.425001,-6.98E-11,,
,1.427001,-7.03E-11,,
,1.429001,-7.07E-11,,
,1.431001,-7.09E-11,,
,1.433001,-7.13E-11,,
,1.435001,-7.23E-11,,
,1.437001,-7.39E-11,,
,1.439001,-7.55E-11,,
,1.441001,-7.68E-11,,
,1.443001,-7.73E-11,,
,1.445001,-7.79E-11,,
,1.447001,-7.82E-11,,
,1.449001,-7.88E-11,,
,1.451001,-7.98E-11,,
,1.453001,-8.13E-11,,
,1.455001,-8.32E-11,,
,1.457001,-8.52E-11,,
,1.459001,-8.67E-11,,
,1.461001,-8.77E-11,,
,1.463001,-8.84E-11,,
,1.465001,-8.91E-11,,
,1.467001,-9.03E-11,,
,1.469001,-9.19E-11,,
,1.471001,-9.39E-11,,
,1.473001,-9.54E-11,,
,1.475001,-9.63E-11,,
,1.477001,-9.66E-11,,
,1.479001,-9.69E-11,,
,1.481001,-9.73E-11,,
,1.483001,-9.80E-11,,
,1.485001,-9.93E-11,,
,1.487001,-1.01E-10,,
,1.489001,-1.03E-10,,
,1.491001,-1.04E-10,,
,1.493001,-1.04E-10,,
,1.495001,-1.05E-10,,
,1.497001,-1.05E-10,,
,1.499001,-1.05E-10,,
,1.501001,-1.05E-10,,
,1.503001,-1.06E-10,,
,1.505001,-1.07E-10,,
,1.507001,-1.07E-10,,
,1.509001,-1.07E-10,,
,1.511001,-1.07E-10,,
,1.513001,-1.06E-10,,
,1.515001,-1.05E-10,,
,1.517001,-1.05E-10,,
,1.519001,-1.05E-10,,
,1.521001,-1.06E-10,,
,1.523001,-1.07E-10,,
,1.525001,-1.07E-10,,
,1.527001,-1.07E-10,,
,1.529001,-1.07E-10,,
,1.531001,-1.06E-10,,
,1.533001,-1.06E-10,,
,1.535001,-1.06E-10,,
,1.537001,-1.07E-10,,
,1.539001,-1.07E-10,,
,1.541001,-1.07E-10,,
,1.543001,-1.07E-10,,
,1.545001,-1.07E-10,,
,1.547001,-1.06E-10,,
,1.549001,-1.05E-10,,
,1.551001,-1.05E-10,,
,1.553001,-1.05E-10,,
,1.555001,-1.06E-10,,
,1.557001,-1.07E-10,,
,1.559001,-1.07E-10,,
,1.561001,-1.07E-10,,
,1.563001,-1.07E-10,,
,1.565001,-1.06E-10,,
,1.567001,-1.06E-10,,
,1.569001,-1.06E-10,,
,1.571001,-1.07E-10,,
,1.573001,-1.08E-10,,
,1.575001,-1.08E-10,,
,1.577001,-1.07E-10,,
,1.579001,-1.06E-10,,
,1.581001,-1.05E-10,,
,1.583001,-1.04E-10,,
,1.585001,-1.04E-10,,
,1.587001,-1.05E-10,,
,1.589001,-1.06E-10,,
,1.591001,-1.06E-10,,
,1.593001,-1.06E-10,,
,1.595001,-1.05E-10,,
,1.597001,-1.04E-10,,
,1.599001,-1.04E-10,,
,1.601001,-1.04E-10,,
,1.603001,-1.04E-10,,
,1.605001,-1.04E-10,,
,1.607001,-1.03E-10,,
,1.609001,-1.02E-10,,
,1.611001,-1.01E-10,,
,1.613001,-9.93E-11,,
,1.615001,-9.77E-11,,
,1.617001,-9.65E-11,,
,1.619001,-9.61E-11,,
,1.621001,-9.60E-11,,
,1.623001,-9.60E-11,,
,1.625001,-9.56E-11,,
,1.627001,-9.46E-11,,
,1.629001,-9.34E-11,,
,1.631001,-9.20E-11,,
,1.633001,-9.10E-11,,
,1.635001,-9.00E-11,,
,1.637001,-8.93E-11,,
,1.639001,-8.87E-11,,
,1.641001,-8.78E-11,,
,1.643001,-8.67E-11,,
,1.645001,-8.51E-11,,
,1.647001,-8.37E-11,,
,1.649001,-8.25E-11,,
,1.651001,-8.20E-11,,
,1.653001,-8.22E-11,,
,1.655001,-8.25E-11,,
,1.657001,-8.26E-11,,
,1.659001,-8.23E-11,,
,1.661001,-8.18E-11,,
,1.663001,-8.13E-11,,
,1.665001,-8.05E-11,,
,1.667001,-8.01E-11,,
,1.669001,-8.01E-11,,
,1.671001,-8.08E-11,,
,1.673001,-8.14E-11,,
,1.675001,-8.18E-11,,
,1.677001,-8.18E-11,,
,1.679001,-8.15E-11,,
,1.681001,-8.10E-11,,
,1.683001,-8.09E-11,,
,1.685001,-8.14E-11,,
,1.687001,-8.28E-11,,
,1.689001,-8.42E-11,,
,1.691001,-8.56E-11,,
,1.693001,-8.66E-11,,
,1.695001,-8.72E-11,,
,1.697001,-8.76E-11,,
,1.699001,-8.78E-11,,
,1.701001,-8.85E-11,,
,1.703001,-8.95E-11,,
,1.705001,-9.07E-11,,
,1.707001,-9.18E-11,,
,1.709001,-9.26E-11,,
,1.711001,-9.29E-11,,
,1.713001,-9.31E-11,,
,1.715001,-9.33E-11,,
,1.717001,-9.44E-11,,
,1.719001,-9.60E-11,,
,1.721001,-9.80E-11,,
,1.723001,-9.94E-11,,
,1.725001,-1.01E-10,,
,1.727001,-1.01E-10,,
,1.729001,-1.02E-10,,
,1.731001,-1.01E-10,,
,1.733001,-1.02E-10,,
,1.735001,-1.03E-10,,
