5/7/2019, 11:19:22 AM ,,,
 Current Sensitivity ,1.00E-09,,,
 This file comes from It only measurement ,0.00E+00,,,
 Sampling rate ,500,,,
 Number of samples per channel ,-1,,,
 No filter from Labview , , , ,
 , ,,,
 ***End_of_Header*** ,,,,
 , Time , Current , Filtered Current , 
,0.602,-6.47E-12,,
,0.604,-7.86E-12,,
,0.606,-9.90E-12,,
,0.608,-1.29E-11,,
,0.61,-1.65E-11,,
,0.612,-1.99E-11,,
,0.614,-2.28E-11,,
,0.616,-2.53E-11,,
,0.618,-2.74E-11,,
,0.62,-2.94E-11,,
,0.622,-3.17E-11,,
,0.624,-3.47E-11,,
,0.626,-3.86E-11,,
,0.628,-4.25E-11,,
,0.63,-4.62E-11,,
,0.632,-4.93E-11,,
,0.634,-5.20E-11,,
,0.636,-5.46E-11,,
,0.638,-5.70E-11,,
,0.64,-6.01E-11,,
,0.642,-6.36E-11,,
,0.644,-6.78E-11,,
,0.646,-7.18E-11,,
,0.648,-7.55E-11,,
,0.65,-7.83E-11,,
,0.652,-8.05E-11,,
,0.654,-8.29E-11,,
,0.656,-8.59E-11,,
,0.658,-8.98E-11,,
,0.66,-9.41E-11,,
,0.662,-9.81E-11,,
,0.664,-1.02E-10,,
,0.666,-1.05E-10,,
,0.668,-1.08E-10,,
,0.67,-1.10E-10,,
,0.672,-1.13E-10,,
,0.674,-1.16E-10,,
,0.676,-1.21E-10,,
,0.678,-1.26E-10,,
,0.68,-1.30E-10,,
,0.682,-1.33E-10,,
,0.684,-1.36E-10,,
,0.686,-1.39E-10,,
,0.688,-1.42E-10,,
,0.69,-1.45E-10,,
,0.692,-1.50E-10,,
,0.694,-1.54E-10,,
,0.696,-1.59E-10,,
,0.698,-1.63E-10,,
,0.7,-1.66E-10,,
,0.702,-1.69E-10,,
,0.704,-1.72E-10,,
,0.706,-1.76E-10,,
,0.708,-1.80E-10,,
,0.71,-1.84E-10,,
,0.712,-1.89E-10,,
,0.714,-1.93E-10,,
,0.716,-1.95E-10,,
,0.718,-1.98E-10,,
,0.72,-2.00E-10,,
,0.722,-2.03E-10,,
,0.724,-2.06E-10,,
,0.726,-2.09E-10,,
,0.728,-2.13E-10,,
,0.73,-2.16E-10,,
,0.732,-2.18E-10,,
,0.734,-2.20E-10,,
,0.736,-2.21E-10,,
,0.738,-2.22E-10,,
,0.74,-2.24E-10,,
,0.742,-2.26E-10,,
,0.744,-2.29E-10,,
,0.746,-2.31E-10,,
,0.748,-2.32E-10,,
,0.75,-2.33E-10,,
,0.752,-2.33E-10,,
,0.754,-2.33E-10,,
,0.756,-2.33E-10,,
,0.758,-2.34E-10,,
,0.76,-2.35E-10,,
,0.762,-2.36E-10,,
,0.764,-2.36E-10,,
,0.766,-2.36E-10,,
,0.768,-2.35E-10,,
,0.77,-2.34E-10,,
,0.772,-2.33E-10,,
,0.774,-2.33E-10,,
,0.776,-2.33E-10,,
,0.778,-2.34E-10,,
,0.78,-2.33E-10,,
,0.782,-2.32E-10,,
,0.784,-2.31E-10,,
,0.786,-2.29E-10,,
,0.788,-2.27E-10,,
,0.79,-2.26E-10,,
,0.792,-2.25E-10,,
,0.794,-2.25E-10,,
,0.796,-2.24E-10,,
,0.798,-2.23E-10,,
,0.8,-2.21E-10,,
,0.802,-2.20E-10,,
,0.804,-2.18E-10,,
,0.806,-2.17E-10,,
,0.808,-2.16E-10,,
,0.81,-2.16E-10,,
,0.812,-2.16E-10,,
,0.814,-2.15E-10,,
,0.816,-2.13E-10,,
,0.818,-2.11E-10,,
,0.82,-2.09E-10,,
,0.822,-2.08E-10,,
,0.824,-2.07E-10,,
,0.826,-2.07E-10,,
,0.828,-2.07E-10,,
,0.83,-2.07E-10,,
,0.832,-2.06E-10,,
,0.834,-2.04E-10,,
,0.836,-2.03E-10,,
,0.838,-2.01E-10,,
,0.84,-2.00E-10,,
,0.842,-1.99E-10,,
,0.844,-1.99E-10,,
,0.846,-1.99E-10,,
,0.848,-1.98E-10,,
,0.85,-1.96E-10,,
,0.852,-1.94E-10,,
,0.854,-1.92E-10,,
,0.856,-1.90E-10,,
,0.858,-1.89E-10,,
,0.86,-1.88E-10,,
,0.862,-1.88E-10,,
,0.864,-1.87E-10,,
,0.866,-1.85E-10,,
,0.868,-1.82E-10,,
,0.87,-1.80E-10,,
,0.872,-1.78E-10,,
,0.874,-1.76E-10,,
,0.876,-1.75E-10,,
,0.878,-1.74E-10,,
,0.88,-1.74E-10,,
,0.882,-1.72E-10,,
,0.884,-1.70E-10,,
,0.886,-1.67E-10,,
,0.888,-1.64E-10,,
,0.89,-1.62E-10,,
,0.892,-1.61E-10,,
,0.894,-1.60E-10,,
,0.896,-1.58E-10,,
,0.898,-1.56E-10,,
,0.9,-1.54E-10,,
,0.902,-1.51E-10,,
,0.904,-1.48E-10,,
,0.906,-1.45E-10,,
,0.908,-1.42E-10,,
,0.91,-1.41E-10,,
,0.912,-1.39E-10,,
,0.914,-1.37E-10,,
,0.916,-1.34E-10,,
,0.918,-1.30E-10,,
,0.92,-1.27E-10,,
,0.922,-1.23E-10,,
,0.924,-1.21E-10,,
,0.926,-1.19E-10,,
,0.928,-1.17E-10,,
,0.93,-1.16E-10,,
,0.932,-1.13E-10,,
,0.934,-1.10E-10,,
,0.936,-1.07E-10,,
,0.938,-1.03E-10,,
,0.94,-1.01E-10,,
,0.942,-9.91E-11,,
,0.944,-9.78E-11,,
,0.946,-9.62E-11,,
,0.948,-9.41E-11,,
,0.95,-9.12E-11,,
,0.952,-8.79E-11,,
,0.954,-8.46E-11,,
,0.956,-8.18E-11,,
,0.958,-7.99E-11,,
,0.96,-7.87E-11,,
,0.962,-7.75E-11,,
,0.964,-7.60E-11,,
,0.966,-7.36E-11,,
,0.968,-7.10E-11,,
,0.97,-6.80E-11,,
,0.972,-6.56E-11,,
,0.974,-6.39E-11,,
,0.976,-6.28E-11,,
,0.978,-6.16E-11,,
,0.98,-5.99E-11,,
,0.982,-5.76E-11,,
,0.984,-5.48E-11,,
,0.986,-5.18E-11,,
,0.988,-4.90E-11,,
,0.99,-4.68E-11,,
,0.992,-4.53E-11,,
,0.994,-4.41E-11,,
,0.996,-4.30E-11,,
,0.998,-4.13E-11,,
,1,-3.90E-11,,
,1.002,-3.60E-11,,
,1.004,-3.29E-11,,
,1.006,-3.02E-11,,
,1.008,-2.84E-11,,
,1.01,-2.73E-11,,
,1.012,-2.63E-11,,
,1.014,-2.48E-11,,
,1.016,-2.26E-11,,
,1.018,-1.96E-11,,
,1.02,-1.66E-11,,
,1.022,-1.39E-11,,
,1.024,-1.20E-11,,
,1.026,-1.08E-11,,
,1.028,-9.79E-12,,
,1.03,-8.51E-12,,
,1.032,-6.68E-12,,
,1.034,-4.21E-12,,
,1.036,-1.42E-12,,
,1.038,1.05E-12,,
,1.04,2.98E-12,,
,1.042,4.05E-12,,
,1.044,4.81E-12,,
,1.046,5.56E-12,,
,1.048,6.63E-12,,
,1.05,8.35E-12,,
,1.052,1.05E-11,,
,1.054,1.26E-11,,
,1.056,1.44E-11,,
,1.058,1.51E-11,,
,1.06,1.53E-11,,
,1.062,1.53E-11,,
,1.064,1.59E-11,,
,1.066,1.70E-11,,
,1.068,1.84E-11,,
,1.07,1.97E-11,,
,1.072,2.07E-11,,
,1.074,2.09E-11,,
,1.076,2.06E-11,,
,1.078,1.95E-11,,
,1.08,1.89E-11,,
,1.082,1.90E-11,,
,1.084,1.98E-11,,
,1.086,2.12E-11,,
,1.088,2.20E-11,,
,1.09,2.23E-11,,
,1.092,2.13E-11,,
,1.094,2.03E-11,,
,1.096,1.90E-11,,
,1.098,1.84E-11,,
,1.1,1.83E-11,,
,1.102,1.89E-11,,
,1.104,1.93E-11,,
,1.106,1.92E-11,,
,1.108,1.84E-11,,
,1.11,1.72E-11,,
,1.112,1.59E-11,,
,1.114,1.48E-11,,
,1.116,1.45E-11,,
,1.118,1.46E-11,,
,1.12,1.47E-11,,
,1.122,1.45E-11,,
,1.124,1.36E-11,,
,1.126,1.23E-11,,
,1.128,1.07E-11,,
,1.13,9.31E-12,,
,1.132,8.78E-12,,
,1.134,8.67E-12,,
,1.136,8.99E-12,,
,1.138,8.99E-12,,
,1.14,8.35E-12,,
,1.142,7.06E-12,,
,1.144,5.02E-12,,
,1.146,3.41E-12,,
,1.148,2.34E-12,,
,1.15,2.12E-12,,
,1.152,2.44E-12,,
,1.154,2.55E-12,,
,1.156,2.12E-12,,
,1.158,8.34E-13,,
,1.16,-6.69E-13,,
,1.162,-2.49E-12,,
,1.164,-4.10E-12,,
,1.166,-5.29E-12,,
,1.168,-5.39E-12,,
,1.17,-5.18E-12,,
,1.172,-5.39E-12,,
,1.174,-6.47E-12,,
,1.176,-8.18E-12,,
,1.178,-1.01E-11,,
,1.18,-1.18E-11,,
,1.182,-1.28E-11,,
,1.184,-1.31E-11,,
,1.186,-1.31E-11,,
,1.188,-1.34E-11,,
,1.19,-1.43E-11,,
,1.192,-1.59E-11,,
,1.194,-1.78E-11,,
,1.196,-1.97E-11,,
,1.198,-2.10E-11,,
,1.2,-2.18E-11,,
,1.202,-2.21E-11,,
,1.204,-2.24E-11,,
,1.206,-2.28E-11,,
,1.208,-2.44E-11,,
,1.21,-2.65E-11,,
,1.212,-2.86E-11,,
,1.214,-3.00E-11,,
,1.216,-3.05E-11,,
,1.218,-3.08E-11,,
,1.22,-3.06E-11,,
,1.222,-3.09E-11,,
,1.224,-3.17E-11,,
,1.226,-3.31E-11,,
,1.228,-3.50E-11,,
,1.23,-3.67E-11,,
,1.232,-3.78E-11,,
,1.234,-3.78E-11,,
,1.236,-3.76E-11,,
,1.238,-3.77E-11,,
,1.24,-3.80E-11,,
,1.242,-3.93E-11,,
,1.244,-4.07E-11,,
,1.246,-4.21E-11,,
,1.248,-4.25E-11,,
,1.25,-4.25E-11,,
,1.252,-4.21E-11,,
,1.254,-4.17E-11,,
,1.256,-4.16E-11,,
,1.258,-4.23E-11,,
,1.26,-4.35E-11,,
,1.262,-4.48E-11,,
,1.264,-4.53E-11,,
,1.266,-4.52E-11,,
,1.268,-4.45E-11,,
,1.27,-4.37E-11,,
,1.272,-4.33E-11,,
,1.274,-4.34E-11,,
,1.276,-4.41E-11,,
,1.278,-4.50E-11,,
,1.28,-4.58E-11,,
,1.282,-4.59E-11,,
,1.284,-4.51E-11,,
,1.286,-4.38E-11,,
,1.288,-4.28E-11,,
,1.29,-4.23E-11,,
,1.292,-4.29E-11,,
,1.294,-4.35E-11,,
,1.296,-4.43E-11,,
,1.298,-4.41E-11,,
,1.3,-4.34E-11,,
,1.302,-4.22E-11,,
,1.304,-4.10E-11,,
,1.306,-4.06E-11,,
,1.308,-4.07E-11,,
,1.31,-4.17E-11,,
,1.312,-4.22E-11,,
,1.314,-4.24E-11,,
,1.316,-4.18E-11,,
,1.318,-4.10E-11,,
,1.32,-4.01E-11,,
,1.322,-3.95E-11,,
,1.324,-3.95E-11,,
,1.326,-4.02E-11,,
,1.328,-4.10E-11,,
,1.33,-4.18E-11,,
,1.332,-4.19E-11,,
,1.334,-4.15E-11,,
,1.336,-4.06E-11,,
,1.338,-4.01E-11,,
,1.34,-4.01E-11,,
,1.342,-4.10E-11,,
,1.344,-4.24E-11,,
,1.346,-4.37E-11,,
,1.348,-4.45E-11,,
,1.35,-4.46E-11,,
,1.352,-4.41E-11,,
,1.354,-4.35E-11,,
,1.356,-4.36E-11,,
,1.358,-4.46E-11,,
,1.36,-4.62E-11,,
,1.362,-4.78E-11,,
,1.364,-4.89E-11,,
,1.366,-4.95E-11,,
,1.368,-4.92E-11,,
,1.37,-4.92E-11,,
,1.372,-4.94E-11,,
,1.374,-5.05E-11,,
,1.376,-5.18E-11,,
,1.378,-5.35E-11,,
,1.38,-5.50E-11,,
,1.382,-5.62E-11,,
,1.384,-5.62E-11,,
,1.386,-5.61E-11,,
,1.388,-5.56E-11,,
,1.39,-5.64E-11,,
,1.392,-5.78E-11,,
,1.394,-5.97E-11,,
,1.396,-6.12E-11,,
,1.398,-6.23E-11,,
,1.4,-6.28E-11,,
,1.402,-6.27E-11,,
,1.404,-6.25E-11,,
,1.406,-6.29E-11,,
,1.408,-6.44E-11,,
,1.41,-6.66E-11,,
,1.412,-6.86E-11,,
,1.414,-7.00E-11,,
,1.416,-7.06E-11,,
,1.418,-7.05E-11,,
,1.42,-7.03E-11,,
,1.422,-7.06E-11,,
,1.424,-7.17E-11,,
,1.426,-7.33E-11,,
,1.428,-7.53E-11,,
,1.43,-7.68E-11,,
,1.432,-7.75E-11,,
,1.434,-7.78E-11,,
,1.436,-7.75E-11,,
,1.438,-7.75E-11,,
,1.44,-7.81E-11,,
,1.442,-7.95E-11,,
,1.444,-8.12E-11,,
,1.446,-8.26E-11,,
,1.448,-8.32E-11,,
,1.45,-8.35E-11,,
,1.452,-8.31E-11,,
,1.454,-8.28E-11,,
,1.456,-8.28E-11,,
,1.458,-8.37E-11,,
,1.46,-8.46E-11,,
,1.462,-8.57E-11,,
,1.464,-8.66E-11,,
,1.466,-8.69E-11,,
,1.468,-8.66E-11,,
,1.47,-8.58E-11,,
,1.472,-8.56E-11,,
,1.474,-8.59E-11,,
,1.476,-8.68E-11,,
,1.478,-8.81E-11,,
,1.48,-8.87E-11,,
,1.482,-8.88E-11,,
,1.484,-8.78E-11,,
,1.486,-8.70E-11,,
,1.488,-8.59E-11,,
,1.49,-8.55E-11,,
,1.492,-8.57E-11,,
,1.494,-8.67E-11,,
,1.496,-8.75E-11,,
,1.498,-8.76E-11,,
,1.5,-8.70E-11,,
,1.502,-8.60E-11,,
,1.504,-8.49E-11,,
,1.506,-8.43E-11,,
,1.508,-8.43E-11,,
,1.51,-8.48E-11,,
,1.512,-8.53E-11,,
,1.514,-8.51E-11,,
,1.516,-8.41E-11,,
,1.518,-8.27E-11,,
,1.52,-8.10E-11,,
,1.522,-7.97E-11,,
,1.524,-7.90E-11,,
,1.526,-7.91E-11,,
,1.528,-7.96E-11,,
,1.53,-8.00E-11,,
,1.532,-7.97E-11,,
